"filename", "language", "Batch", "Markdown", "Python", "pip requirements", "Properties", "Log", "JSON", "PowerShell", "C++", "JavaScript", "reStructuredText", "C", "YAML", "XML", "Ini", "comment", "blank", "total"
"c:\nyxa\.venv\Include\site\python3.12\greenlet\greenlet.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 51, 36, 165
"c:\nyxa\.venv\Lib\site-packages\PIL\BdfFontFile.py", "Python", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 22, 134
"c:\nyxa\.venv\Lib\site-packages\PIL\BlpImagePlugin.py", "Python", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 103, 477
"c:\nyxa\.venv\Lib\site-packages\PIL\BmpImagePlugin.py", "Python", 0, 0, 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 61, 473
"c:\nyxa\.venv\Lib\site-packages\PIL\BufrStubImagePlugin.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 75
"c:\nyxa\.venv\Lib\site-packages\PIL\ContainerIO.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 12, 122
"c:\nyxa\.venv\Lib\site-packages\PIL\CurImagePlugin.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 76
"c:\nyxa\.venv\Lib\site-packages\PIL\DcxImagePlugin.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 17, 81
"c:\nyxa\.venv\Lib\site-packages\PIL\DdsImagePlugin.py", "Python", 0, 0, 497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 51, 573
"c:\nyxa\.venv\Lib\site-packages\PIL\EpsImagePlugin.py", "Python", 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 75, 475
"c:\nyxa\.venv\Lib\site-packages\PIL\ExifTags.py", "Python", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 382
"c:\nyxa\.venv\Lib\site-packages\PIL\FitsImagePlugin.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 149
"c:\nyxa\.venv\Lib\site-packages\PIL\FliImagePlugin.py", "Python", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 37, 175
"c:\nyxa\.venv\Lib\site-packages\PIL\FontFile.py", "Python", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 135
"c:\nyxa\.venv\Lib\site-packages\PIL\FpxImagePlugin.py", "Python", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 60, 256
"c:\nyxa\.venv\Lib\site-packages\PIL\FtexImagePlugin.py", "Python", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 21, 116
"c:\nyxa\.venv\Lib\site-packages\PIL\GbrImagePlugin.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 22, 104
"c:\nyxa\.venv\Lib\site-packages\PIL\GdImageFile.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 19, 103
"c:\nyxa\.venv\Lib\site-packages\PIL\GifImagePlugin.py", "Python", 0, 0, 742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 166, 1108
"c:\nyxa\.venv\Lib\site-packages\PIL\GimpGradientFile.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 41, 138
"c:\nyxa\.venv\Lib\site-packages\PIL\GimpPaletteFile.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 58
"c:\nyxa\.venv\Lib\site-packages\PIL\GribStubImagePlugin.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 75
"c:\nyxa\.venv\Lib\site-packages\PIL\Hdf5StubImagePlugin.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 75
"c:\nyxa\.venv\Lib\site-packages\PIL\IcnsImagePlugin.py", "Python", 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 53, 401
"c:\nyxa\.venv\Lib\site-packages\PIL\IcoImagePlugin.py", "Python", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 61, 359
"c:\nyxa\.venv\Lib\site-packages\PIL\ImImagePlugin.py", "Python", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 67, 372
"c:\nyxa\.venv\Lib\site-packages\PIL\Image.py", "Python", 0, 0, 2033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1385, 566, 3984
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageChops.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 66, 312
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageCms.py", "Python", 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 531, 120, 1103
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageColor.py", "Python", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 23, 318
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageDraw.py", "Python", 0, 0, 789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 105, 1088
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageDraw2.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 29, 194
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageEnhance.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 20, 105
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageFile.py", "Python", 0, 0, 452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 120, 798
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageFilter.py", "Python", 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 90, 566
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageFont.py", "Python", 0, 0, 672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 507, 74, 1253
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageGrab.py", "Python", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 187
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageMath.py", "Python", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 70, 358
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageMode.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 97
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageMorph.py", "Python", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 38, 266
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageOps.py", "Python", 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 82, 725
